Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
Case17,1,1,1,0.5531914893617021;1.0;0.16666666666666666;0.6751741281882244;0.0;0.0;0.2311748408489517
Case178_11,0,11,0,0.5294117647058824;1.0;0.2;0.6048122989978983;0.5;0.2;0.22906578784238416
Case178_14,0,14,0,0.5294117647058824;1.0;0.2;0.6032713759431266;0.5;0.2;0.2266703286231174
Case17_9,1,9,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.2711079946173377
Case185_4,0,4,1,0.63671875;1.0;0.2;0.6263852217647023;0.5;0.2;0.22547259901348402
Case185_5,0,5,1,0.63671875;1.0;0.2;0.6263852217647023;0.5;0.2;0.22726919342793409
Case187_14,1,14,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.2721233803649682
Case187_9,1,9,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.27060030174352245
Case18_7,1,7,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.2035848423999109
Case192_12,0,12,0,0.8125;1.0;0.25;0.5487336158690711;0.0;0.0;0.20657473297855758
Case192_14,0,14,0,0.8125;1.0;0.25;0.5487336158690711;0.0;0.0;0.20657473297855758
Case192_5,0,5,0,0.8275862068965517;1.0;0.3333333333333333;0.4799462159941754;0.0;0.0;0.12178172751088301
Case195_13,0,13,0,0.5294117647058824;1.0;0.2;0.6048122989978983;0.5;0.2;0.19612822357746618
Case199_5,1,5,1,0.63671875;1.0;0.2;0.6217624526003872;0.5;0.2;0.19013957552929925
Case200_3,1,3,1,0.63671875;1.0;0.2;0.6186806064908438;0.5;0.2;0.22786805823275078
Case201_13,1,13,0,0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14751085752388854
Case201_14,1,14,0,0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.15033854169367553
Case203_3,0,3,1,0.63671875;1.0;0.2;0.6263852217647023;0.5;0.2;0.2266703286231174
Case206,1,1,1,0.63671875;1.0;0.2;0.6094350681622135;0.5;0.2;0.22846692303756747
Case206_6,1,6,1,0.63671875;1.0;0.2;0.6109759912169852;0.5;0.2;0.18115660345704893
Case207,1,1,1,0.63671875;1.0;0.4;0.6248442987099306;0.5;0.2;0.22966465264720085
Case207_12,1,12,1,0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.14751085752388854
Case207_7,1,7,1,0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14845341891381753
Case208_2,1,2,1,0.5531914893617021;1.0;0.16666666666666666;0.6751741281882244;0.0;0.0;0.2278879947705306
Case20_11,1,11,1,0.9053497942386831;1.0;0.14285714285714285;0.7145630521263237;1.0;0.2857142857142857;0.23455410770264049
Case20_13,1,13,1,0.9053497942386831;1.0;0.14285714285714285;0.7106440591530532;1.0;0.2857142857142857;0.23303102908119477
Case20_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.7224010380728646;1.0;0.2857142857142857;0.23658487919790144
Case210_13,0,13,1,0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.14845341891381753
Case210_8,0,8,1,0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.14845341891381753
Case211_2,0,2,1,0.63671875;1.0;0.2;0.6094350681622135;0.5;0.2;0.22966465264720085
Case211_4,0,4,1,0.63671875;1.0;0.2;0.6217624526003872;0.5;0.2;0.2266703286231174
Case223_13,0,13,0,0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14939598030374654
Case223_6,0,6,1,0.5531914893617021;1.0;0.3333333333333333;0.6723550295319062;0.0;0.0;0.20323664918237228
Case225_2,1,2,1,0.7232142857142857;1.0;0.2857142857142857;0.7250137000550451;1.0;0.2857142857142857;0.2660310658791853
Case225_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.23252333620737953
Case229_10,0,10,0,0.8373493975903614;1.0;0.5;0.3965332096855295;0.0;0.0;0.06927826215978151
Case235_10,1,10,1,0.9053497942386831;1.0;0.14285714285714285;0.7054187351886924;1.0;0.2857142857142857;0.27313876611259863
Case238_12,1,12,1,0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14656829613395952
Case239_4,0,4,0,0.8235294117647058;1.0;0.2;0.6032713759431266;0.0;0.0;0.13504401348616374
Case244_4,1,4,1,0.63671875;1.0;0.2;0.6202215295456155;1.0;0.2;0.18415092748113235
Case245_10,1,10,1,0.9053497942386831;1.0;0.14285714285714285;0.7054187351886924;1.0;0.2857142857142857;0.23963103644079287
Case245_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.7028060732065121;1.0;0.2857142857142857;0.23963103644079287
Case248_6,1,6,1,0.7232142857142857;1.0;0.14285714285714285;0.7145630521263237;1.0;0.2857142857142857;0.18276943457348607
Case251_12,0,12,0,0.8275862068965517;1.0;0.3333333333333333;0.4839127136470198;0.0;0.0;0.18344336169360856
Case251_8,0,8,0,0.8275862068965517;1.0;0.3333333333333333;0.4779629671677532;0.0;0.0;0.18344336169360856
Case252_10,0,10,0,0.8275862068965517;1.0;0.3333333333333333;0.4779629671677532;0.0;0.0;0.18344336169360856
Case253_3,1,3,1,0.63671875;1.0;0.2;0.6248442987099306;0.5;0.2;0.22726919342793409
Case257_4,1,4,1,0.63671875;1.0;0.4;0.6248442987099306;0.5;0.2;0.18415092748113235
Case258_10,1,10,1,0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.09378485829793551
Case25_3,1,3,1,0.8823529411764706;1.0;0.2;0.6152058415968036;0.0;0.0;0.2337006925434702
Case260_14,1,14,1,0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.14845341891381753
Case263_12,0,12,0,0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14751085752388854
Case263_14,0,14,0,0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14845341891381753
Case263_2,0,2,1,0.5531914893617021;1.0;0.16666666666666666;0.6723550295319062;0.0;0.0;0.2404875714044782
Case263_7,0,7,0,0.8235294117647058;1.0;0.4;0.6094350681622135;0.0;0.0;0.17696454982333207
Case265_3,0,3,1,0.8823529411764706;1.0;0.2;0.6136639723196186;0.0;0.0;0.17078127532022822
Case265_7,0,7,0,0.8373493975903614;1.0;0.5;0.3965332096855295;0.0;0.0;0.14751085752388854
Case265_9,0,9,0,0.8373493975903614;1.0;0.5;0.3965332096855295;0.0;0.0;0.14751085752388854
Case266_10,1,10,1,0.5531914893617021;1.0;0.3333333333333333;0.6709454802037471;0.0;0.0;0.2311748408489517
Case266_11,1,11,1,0.5531914893617021;1.0;0.3333333333333333;0.6709454802037471;0.0;0.0;0.233913879247636
Case267_9,1,9,1,0.8417721518987342;1.0;0.5;0.3965332096855295;0.0;0.0;0.14845341891381753
Case268_7,1,7,1,0.5531914893617021;1.0;0.16666666666666666;0.6695359308755879;0.0;0.0;0.22953141780974118
Case269_4,0,4,1,0.5531914893617021;1.0;0.16666666666666666;0.6723550295319062;0.0;0.0;0.23172264852868857
Case269_8,0,8,1,0.5531914893617021;1.0;0.16666666666666666;0.6695359308755879;0.0;0.0;0.2015932261431617
Case273_11,0,11,0,1.0;1.0;0.25;0.5366924393452984;0.5;0.25;0.20991736619827533
Case277_11,1,11,0,0.5294117647058824;1.0;0.2;0.6032713759431266;0.5;0.2;0.17636568501851538
Case28_13,1,13,1,0.9053497942386831;1.0;0.14285714285714285;0.7106440591530532;1.0;0.2857142857142857;0.26907722312207677
Case28_9,1,9,1,0.9053497942386831;1.0;0.14285714285714285;0.7106440591530532;1.0;0.2857142857142857;0.2685695302482615
Case38_6,1,6,1,0.7232142857142857;1.0;0.2857142857142857;0.7250137000550451;1.0;0.14285714285714285;0.22135409298344427
Case40_11,0,11,0,1.0;1.0;0.25;0.5384126074201231;1.0;0.25;0.21058589284221887
Case40_9,0,9,0,1.0;1.0;0.25;0.5384126074201231;1.0;0.25;0.1490814415994121
Case42_2,1,2,1,0.7232142857142857;1.0;0.14285714285714285;0.7224010380728646;1.0;0.2857142857142857;0.2711079946173377
Case44_3,1,3,1,0.7232142857142857;1.0;0.2857142857142857;0.7250137000550451;1.0;0.14285714285714285;0.25790797989814146
Case44_5,1,5,1,0.9053497942386831;1.0;0.14285714285714285;0.7224010380728646;1.0;0.2857142857142857;0.25892336564577195
Case4_10,0,10,1,0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.023092754053260504
Case50_2,0,2,0,0.9230769230769231;1.0;0.2;0.6063532220526701;1.0;0.2;0.2344555710857344
Case58_6,0,6,0,0.8125;1.0;0.25;0.5470134477942464;0.0;0.0;0.20924883955433177
Case61_11,1,11,1,0.8235294117647058;1.0;0.16666666666666666;0.6709454802037471;0.0;0.0;0.163246688561582
Case61_13,1,13,1,0.8823529411764706;1.0;0.2;0.6090383644880636;0.0;0.0;0.2265099020036711
Case64,0,1,1,0.5531914893617021;1.0;0.16666666666666666;0.6610786349066331;0.0;0.0;0.23446168692737285
Case65_3,0,3,0,0.9230769230769231;1.0;0.2;0.6032713759431266;0.5;0.2;0.18235433306668228
Case66_2,0,2,0,0.8373493975903614;1.0;0.5;0.3989584892554716;0.0;0.0;0.14939598030374654
Case67_14,0,14,0,0.5294117647058824;1.0;0.2;0.6048122989978983;0.5;0.2;0.2242748694038506
Case67_6,0,6,1,0.9053497942386831;1.0;0.14285714285714285;0.7224010380728646;1.0;0.2857142857142857;0.2736464589864139
Case74,0,1,1,0.63671875;1.0;0.4;0.6248442987099306;1.0;0.2;0.22906578784238416
Case78_8,1,8,1,0.9053497942386831;1.0;0.14285714285714285;0.7210947070817746;1.0;0.14285714285714285;0.2655233730053701
Case79,0,1,0,0.9230769230769231;1.0;0.2;0.6125169142717569;1.0;0.2;0.2344555710857344
Case85_2,1,2,1,0.5531914893617021;1.0;0.16666666666666666;0.6709454802037471;0.0;0.0;0.23172264852868857
Case90_10,0,10,1,0.9053497942386831;1.0;0.14285714285714285;0.7132567211352334;1.0;0.2857142857142857;0.26653875875300054
Case90_13,0,13,1,0.8417721518987342;1.0;0.5;0.3989584892554716;0.0;0.0;0.14939598030374654
Case90_9,0,9,1,0.9053497942386831;1.0;0.14285714285714285;0.7132567211352334;1.0;0.2857142857142857;0.2680618373744463
Case91,1,1,1,0.63671875;1.0;0.4;0.6248442987099306;0.5;0.2;0.22607146381830068
Case91_7,1,7,1,0.9053497942386831;1.0;0.14285714285714285;0.717175714108504;1.0;0.2857142857142857;0.27060030174352245
Case97_5,0,5,0,0.9230769230769231;1.0;0.2;0.6109759912169852;0.5;0.2;0.23325784147610099
