Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
1052_13,1,13,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1053_5,0,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1055_14,1,14,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1056_8,0,8,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1056_9,0,9,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1057_14,1,14,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1062_10,1,10,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1063_5,1,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1066_12,1,12,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1066_13,1,13,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1072_4,1,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1074_10,0,10,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1079_6,0,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1081_9,1,9,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1084_7,0,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1091_4,1,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1093_8,1,8,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1096_10,0,10,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1099_3,0,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1103_2,0,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1104_8,1,8,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1105_7,0,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1106_5,0,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1110_4,0,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1111_6,0,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1112_5,1,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1113_9,1,9,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1119_9,1,9,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1120_7,1,7,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1121_5,1,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1126_8,1,8,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1128_12,0,12,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1130_2,1,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1132_14,1,14,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1138_8,0,8,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1141_5,0,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
913_8,1,8,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
915_2,1,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
916_14,0,14,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
917_7,1,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
921_4,0,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
921_9,0,9,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
924_4,0,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
928_13,0,13,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
928_14,0,14,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
928_9,0,9,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
929_11,1,11,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
929_7,1,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
931_2,0,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
935_6,0,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
938_2,1,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
948_11,0,11,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
951_3,1,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
952_13,0,13,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
956_2,1,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
957_9,1,9,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
960_11,1,11,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
963_3,1,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
967_8,0,8,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
969_3,1,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
973_3,0,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
973_7,0,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
974_3,0,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
974_4,0,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
976_7,0,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
977_6,1,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
982_11,1,11,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
982_13,1,13,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
982_6,1,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
984_3,1,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
987_12,1,12,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
987_6,1,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
988_12,0,12,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
988_13,0,13,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
998_7,1,7,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
